,Score,Cluster,ID
321,85.8,2.0,8218
322,35.3,2.0,6921
323,19.3,2.0,6159
324,76.4,2.0,7679
325,64.7,2.0,7834
326,43.2,2.0,6396
327,40.2,2.0,6184
328,76.1,2.0,5622
329,2.5,2.0,3375
330,20.4,2.0,5251
331,15.1,2.0,4372
332,35.7,2.0,7170
333,6.4,2.0,2457
334,32.6,2.0,7296
335,114.6,2.0,8601
336,24.4,2.0,4872
337,18.5,2.0,4393
338,32.9,2.0,7935
339,36.7,2.0,6298
340,80.0,2.0,5933
341,40.5,3.0,5450
342,28.3,2.0,4344
343,24.2,2.0,5592
344,38.7,2.0,7522
345,41.6,2.0,6248
346,62.5,2.0,8112
347,45.1,2.0,7120
348,62.6,2.0,7421
349,71.3,2.0,8459
350,39.8,2.0,6915
351,88.3,2.0,6448
352,25.6,2.0,5590
353,68.1,2.0,6437
354,13.5,2.0,4114
355,49.5,2.0,7326
356,54.8,2.0,6701
357,46.9,2.0,6960
358,56.8,2.0,5924
359,9.7,2.0,3839
360,79.8,2.0,8403
361,2.9,3.0,4846
362,67.5,2.0,5697
363,83.1,2.0,6442
364,71.8,2.0,7830
365,78.5,2.0,7683
366,32.8,2.0,7374
367,32.1,2.0,5951
368,37.0,2.0,7291
369,74.2,2.0,6632
370,102.7,2.0,6709
371,48.8,2.0,6635
372,123.2,2.0,7974
373,95.0,2.0,8478
374,28.0,3.0,6800
375,72.9,2.0,7919
376,45.6,2.0,6291
377,33.9,2.0,6489
378,43.6,2.0,4832
379,71.1,2.0,6627
380,57.1,2.0,5972
381,39.0,2.0,7670
382,51.9,2.0,5683
383,98.2,2.0,8062
384,67.0,2.0,7413
385,21.5,2.0,5126
386,80.1,2.0,7420
387,25.2,2.0,4727
388,88.1,2.0,6907
389,38.0,2.0,6628
390,36.1,2.0,7307
391,37.7,2.0,6525
392,80.4,2.0,7680
393,55.5,2.0,5624
394,58.1,2.0,5699
395,29.9,2.0,6002
396,13.3,3.0,4774
397,34.7,2.0,7091
398,48.4,2.0,7229
399,40.7,2.0,5323
400,30.1,2.0,6734
401,1.2,4.0,5253
402,45.3,2.0,7117
403,20.7,2.0,4724
404,156.3,2.0,8066
405,69.8,2.0,6172
406,38.9,2.0,7663
407,67.9,2.0,7843
408,23.3,2.0,3662
409,67.2,2.0,5921
410,31.8,2.0,6147
411,278.2,2.0,8901
412,55.2,2.0,8116
413,40.3,2.0,7116
414,69.4,2.0,7415
415,23.1,2.0,5131
416,53.9,2.0,6787
417,61.5,2.0,8461
418,118.4,2.0,8594
419,82.6,2.0,6716
420,167.3,2.0,8061
421,22.4,2.0,5127
422,49.8,2.0,5693
423,77.6,2.0,8054
424,89.6,2.0,6447
425,50.0,2.0,6293
426,21.7,2.0,5802
427,59.8,2.0,5686
428,30.2,2.0,7285
429,80.3,2.0,7678
430,93.6,2.0,7283
431,44.9,3.0,8969
432,13.7,3.0,6207
433,-2.3,3.0,2232
434,1.5,4.0,6416
435,15.2,3.0,7220
436,-0.6,7.0,2776
437,29.8,3.0,8922
438,33.5,3.0,6793
439,7.1,3.0,4111
440,102.0,3.0,8655
441,4.1,3.0,4253
442,-5.8,3.0,883
443,66.2,3.0,7385
444,42.9,3.0,4825
445,161.5,3.0,8144
446,19.7,3.0,5407
447,22.6,3.0,8434
448,10.7,3.0,6091
449,3.0,4.0,5244
450,-2.1,3.0,2522
451,10.6,3.0,7309
452,24.1,3.0,5842
453,33.6,3.0,7377
454,3.4,3.0,2991
455,92.2,3.0,6104
456,8.2,4.0,4598
457,9.3,4.0,7338
458,0.6,4.0,3524
459,90.1,5.0,7823
